site_id,site_name,coordinate,river_name,sub_river_name,address
s301081281107010,ニペソツ（にぺそつ）,北緯 43度19分22秒 東経 142度56分36秒,十勝川,十勝川,北海道上川郡新得町富村牛
s301081281107020,共栄橋（きょうえいばし）,北緯 43度04分03秒 東経 142度55分33秒,十勝川,十勝川,北海道上川郡清水町字人舞東1線
s301081281107040,芽室太（めむろぶと）,北緯 42度55分51秒 東経 143度02分49秒,十勝川,十勝川,北海道河西郡芽室町芽室北2線24号31の1地先
s301081281107050,帯広（おびひろ）,北緯 42度56分04秒 東経 143度12分12秒,十勝川,十勝川,北海道帯広市大通北2丁目2-2地先
s301081281107055,十勝中央大橋（とかちちゅうおうおおはし）,北緯 42度55分38秒 東経 143度17分27秒,十勝川,十勝川,北海道中川郡幕別町字千住
s301081281107060,千代田（ちよだ）,北緯 42度55分11秒 東経 143度23分02秒,十勝川,十勝川,北海道中川郡幕別町字明野130番地の1地先
s301081281107070,茂岩（もいわ）,北緯 42度48分28秒 東経 143度30分42秒,十勝川,十勝川,北海道中川郡豊頃町牛首別29線261番地
s301081281107090,大津（おおつ）,北緯 42度41分23秒 東経 143度38分52秒,十勝川,十勝川,北海道中川郡豊頃町大津幸町134番地
s301081281107100,シイ十勝（しいとかち）,北緯 43度25分04秒 東経 142度51分59秒,十勝川,十勝川,北海道上川郡新得町字トムラウシ国有林
s301081281107110,トムラウシ（とむらうし）,北緯 43度24分44秒 東経 142度52分41秒,十勝川,トムラウシ川,北海道上川郡新得町字トムラウシ国有林
s301081281107135,美生橋（びせいばし）,北緯 42度55分22秒 東経 143度03分58秒,十勝川,美生川,北海道河西郡芽室町東1条10丁目
s301081281107145,国見橋（くにみばし）,北緯 42度57分05秒 東経 143度08分48秒,十勝川,然別川,北海道河西郡芽室町西士狩
s301081281107150,士幌（しほろ）,北緯 43度11分09秒 東経 143度13分30秒,十勝川,音更川,北海道河東郡士幌町字百戸
s301081281107160,音更（おとふけ）,北緯 43度00分27秒 東経 143度12分00秒,十勝川,音更川,北海道河東郡音更町字下音更東1線37-7地先
s301081281107170,東3条（ひがしさんじょう）,北緯 42度56分00秒 東経 143度12分34秒,十勝川,帯広川,北海道帯広市東3条北1丁目1-2地先
s301081281107180,竜潭上流（りゅうたんじょうりゅう）,北緯 42度36分41秒 東経 142度52分11秒,十勝川,札内川,北海道河西郡中札内村国有林369林班い小班
s301081281107195,札内ダム直下（さつないだむちょっか）,北緯 42度34分48秒 東経 142度56分05秒,十勝川,札内川,河西郡中札内村国有林
s301081281107200,南札内（みなみさつない）,北緯 42度36分12秒 東経 142度59分13秒,十勝川,札内川,北海道河西郡中札内村南札内
s301081281107210,上札内（かみさつない）,北緯 42度38分32秒 東経 143度05分30秒,十勝川,札内川,北海道河西郡中札内村上札内
s301081281107220,第二大川橋（だいにおおかわばし）,北緯 42度47分52秒 東経 143度09分24秒,十勝川,札内川,北海道帯広市大正町本町
s301081281107230,南帯橋（なんたいばし）,北緯 42度50分23秒 東経 143度11分17秒,十勝川,札内川,北海道帯広市愛国町7号地先
s301081281107240,札内（さつない）,北緯 42度55分33秒 東経 143度13分44秒,十勝川,札内川,北海道帯広市東13条南8丁目地先
s301081281107250,戸蔦橋（とったばし）,北緯 42度41分58秒 東経 143度03分30秒,十勝川,戸蔦別川,北海道帯広市川西町字戸蔦
s301081281107260,中島橋（なかじまばし）,北緯 42度43分57秒 東経 143度06分32秒,十勝川,戸蔦別川,北海道帯広市中島東3線130番地
s301081281107280,旭橋（あさひばし）,北緯 42度56分48秒 東経 143度16分11秒,十勝川,士幌川,北海道河東郡音更町下士幌
s301081281107290,千住12号橋（せんじゅうじゅうにごうばし）,北緯 42度54分48秒 東経 143度16分55秒,十勝川,途別川,北海道中川郡幕別町字千住452番地地先
s301081281107300,止若（やむわっか）,北緯 42度54分37秒 東経 143度21分23秒,十勝川,猿別川,北海道中川郡幕別町字止若
s301081281107320,東橋（あずまばし）,北緯 43度05分40秒 東経 143度30分59秒,十勝川,利別川,北海道中川郡本別町字勇足東3区
s301081281107330,利別（としべつ）,北緯 42度55分52秒 東経 143度26分36秒,十勝川,利別川,北海道中川郡池田町西3条南8丁目地先
s301081281107350,東台1号橋（とうだいいちごうばし）,北緯 42度55分11秒 東経 143度28分35秒,十勝川,十弗川,北海道中川郡池田町東台45号
s301081281107360,農野牛（のやうし）,北緯 42度47分57秒 東経 143度28分18秒,十勝川,牛首別川,北海道中川郡豊頃町農野牛西5号335号地先
s301081281107370,大平橋（たいへいばし）,北緯 42度46分27秒 東経 143度35分50秒,十勝川,下頃辺川,北海道十勝郡浦幌町字愛牛
s301081281107400,十勝太（とかちぶと）,北緯 42度44分03秒 東経 143度40分27秒,十勝川,浦幌十勝川,北海道十勝郡浦幌町十勝太
